Porosity_used,k0_m2,Permeability_mD,Tortuosity,OutletHConc,C_molL,pH,eta_Pa_s,K_f_Pa,omega_rad_s,theta_deg,Lambda_m,debye_d_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,RE_energy_proxy,TTM_energy_proxy_abs,matrix_cond,coefficient_combined_log_metric,Time_s,component,RE_abs_norm
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,3.2,fluid_chemistry,1.0
0.54545,1.8676028302035464e-11,18923.4850388429,1.21822216091196,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8267244006151798e-05,9.659384446620077e-09,1.2581024381733699e-09,0.005673402894087003,1476515977.640348,45772394.04358683,1477225285.5552242,-8.016048276820107e-08,4.0890939990182557e-07,4.166924529262585e-07,2.1821945442837135e+18,1.7363260032570214e-13,1.4105983868598253e+27,9.169446732828874,6.4,full_path,0.9984207556598669
0.54545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8223906739785132e-05,9.659384446620077e-09,1.260668056345389e-09,0.005671515671218682,1479717793.4010773,45652153.52287164,1480421854.4823732,-8.050706202973129e-08,4.1067058311023404e-07,4.184874130350382e-07,2.191648867229029e+18,1.7513171486875864e-13,1.4081784934861128e+27,9.170385487670739,6.4,porosity,1.0005812390979523
0.545,1.8676028302035464e-11,18923.4850388429,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8277874515469373e-05,9.659384446620077e-09,1.2559085022824326e-09,0.0056667978243068766,1475174229.8627505,44954780.05272513,1475859051.773152,-7.898737835492185e-08,4.0784876307481503e-07,4.154270326796755e-07,2.1781599407007478e+18,1.7257961948104017e-13,1.4152007303024497e+27,9.169044883259339,6.4,permeability,0.9974973513704584
0.545,1.8581234013843514e-11,18827.4347295717,1.21822216091196,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8228346129291362e-05,9.659384446620077e-09,1.2597471760705196e-09,0.0056687502875528975,1479379819.5462866,45244271.44869251,1480071516.7111778,-8.016797925041504e-08,4.1001091933189245e-07,4.1777489018426965e-07,2.1906116945797263e+18,1.7453585886847856e-13,1.4107078699851956e+27,9.170282700910246,6.4,tortuosity,1.0003444542922266
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,6.4,fluid_chemistry,1.0
0.54565,1.8726440625466387e-11,18974.5653238366,1.21910831589282,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8295179698464032e-05,9.659384446620077e-09,1.2557284091113552e-09,0.00567133768194813,1473850337.0560129,45557353.89597202,1474554267.7480967,-8.051737849145364e-08,4.0744545293124584e-07,4.1532498763436333e-07,2.1743102885341256e+18,1.7249484535348406e-13,1.4134504244043243e+27,9.168660760441462,12.8,full_path,0.996615479481988
0.54565,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8220566580897147e-05,9.659384446620077e-09,1.261361510622112e-09,0.005673597656585284,1480091144.9097703,45924827.22150747,1480803459.9485645,-8.075966409548866e-08,4.110642679319818e-07,4.189223743311788e-07,2.19277888699564e+18,1.7549595571527229e-13,1.4066211573028926e+27,9.170497420490129,12.8,porosity,1.0008391569806505
0.545,1.8726440625466387e-11,18974.5653238366,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.830252668291782e-05,9.659384446620077e-09,1.25421675794415e-09,0.005666780173417556,1473216835.4769697,44910386.17450072,1473901213.487227,-7.95686574387581e-08,4.0654928793282204e-07,4.1426259155913543e-07,2.1723847871191201e+18,1.7161349476529106e-13,1.4172863168862912e+27,9.168468376416456,12.8,permeability,0.9961740959401545
0.545,1.8581234013843514e-11,18827.4347295717,1.21910831589282,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8234974724545196e-05,9.659384446620077e-09,1.2583738487708942e-09,0.0056646249673134325,1478297155.627193,44802458.53388498,1478975909.4137166,-7.960879825932854e-08,4.095196485269402e-07,4.1718569401397635e-07,2.18736974062613e+18,1.7404390328992311e-13,1.4128906579962124e+27,9.169961099964507,12.8,tortuosity,0.9996039598825154
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,12.8,fluid_chemistry,1.0
0.5465,1.8834232195305457e-11,19083.7851282926,1.22071961746299,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8345596297331538e-05,9.659384446620077e-09,1.252572445208315e-09,0.005672638731367909,1469309408.9773614,45811570.91158105,1470023414.5546083,-8.002717987938809e-08,4.0583875928915745e-07,4.136537780086272e-07,2.16096883933879e+18,1.711094480608106e-13,1.415077534858022e+27,9.167324252252175,25.6,full_path,0.9935531856575722
0.5465,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.820639136735288e-05,9.659384446620077e-09,1.2643101091352987e-09,0.005682446109185416,1481673184.3103337,47083764.90125124,1482421096.0525355,-8.271841295331041e-08,4.1252481459343836e-07,4.207363289482679e-07,2.1975723060216008e+18,1.770190584968651e-13,1.4001575925363472e+27,9.17097158671695,25.6,porosity,1.0019324780042629
0.545,1.8834232195305457e-11,19083.7851282926,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8355126834328586e-05,9.659384446620077e-09,1.2506222889869493e-09,0.0056667426703511945,1469057698.3134186,44815954.169433676,1469741130.5131376,-7.84190613428421e-08,4.044736666574662e-07,4.1200545651875477e-07,2.1601389907220357e+18,1.6974849620122754e-13,1.42100778863795e+27,9.16724084802028,25.6,permeability,0.993362396717827
0.545,1.8581234013843514e-11,18827.4347295717,1.22071961746299,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8247021374065553e-05,9.659384446620077e-09,1.2558831029129663e-09,0.005657139229456052,1476331690.1153073,44002331.538175516,1476987293.2491717,-7.950656031631981e-08,4.082951319179481e-07,4.159641906236969e-07,2.181491464419515e+18,1.7302620788122726e-13,1.417386374019803e+27,9.169376759025216,25.6,tortuosity,0.9982599024302522
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,25.6,fluid_chemistry,1.0
0.5486,1.915401670252651e-11,19407.8067693067,1.22119785160067,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8468857845640457e-05,9.659384446620077e-09,1.2485040634015566e-09,0.005692119080215671,1460419928.9506469,48105165.353769794,1461211988.6621263,-8.194018985845897e-08,4.0260710065015337e-07,4.108608915532884e-07,2.135140475809926e+18,1.68806672207963e-13,1.4120068494825137e+27,9.16471322676767,51.2,full_path,0.9875977565270004
0.5486,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8171511599997195e-05,9.659384446620077e-09,1.2716047139453812e-09,0.0057043070946556805,1485549110.4496593,49947340.35001313,1486388541.521299,-8.36906171305836e-08,4.170953197625603e-07,4.2540877419669e-07,2.209350896365814e+18,1.8097262516353037e-13,1.3838307231705324e+27,9.172132348712772,51.2,porosity,1.0046139782071741
0.545,1.915401670252651e-11,19407.8067693067,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8510295869907642e-05,9.659384446620077e-09,1.240137733807164e-09,0.005666633279114408,1456924149.7134812,44539707.907851875,1457604803.6415312,-7.751233393912404e-08,3.976700261107953e-07,4.0515381224869513e-07,2.1246117635988667e+18,1.641496115796509e-13,1.4330454061053389e+27,9.163639790880001,51.2,permeability,0.9851597476266086
0.545,1.8581234013843514e-11,18827.4347295717,1.22119785160067,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.82505952881352e-05,9.659384446620077e-09,1.2551454306899175e-09,0.005654921268101107,1475749126.985969,43765649.07092281,1476397953.7504272,-7.825136896211741e-08,4.082776175928278e-07,4.1570890027965575e-07,2.1797509178384486e+18,1.7281388977172076e-13,1.418359501294572e+27,9.16920343460306,51.2,tortuosity,0.9978615821513953
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,51.2,fluid_chemistry,1.0
0.5527,1.9543555992530635e-11,19802.5074415921,1.22660304735036,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.862747866101359e-05,9.659384446620077e-09,1.2416274473109072e-09,0.00570927768650223,1446876916.0744033,50505545.48351238,1447758136.0135963,-8.1050234837402e-08,3.9961018929340503e-07,4.077467890177788e-07,2.096003620393563e+18,1.66257443954309e-13,1.40805709216808e+27,9.160696014231128,102.4,full_path,0.9785046237061436
0.5527,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8103986829768637e-05,9.659384446620077e-09,1.2858868189110782e-09,0.005746988486287703,1492982141.242505,55537838.601387545,1494014767.5259335,-9.101457297669533e-08,4.24820367956307e-07,4.3446058224499754e-07,2.232080125585569e+18,1.8875599752466228e-13,1.353298434967321e+27,9.174354890266079,102.4,porosity,1.009768359468336
0.545,1.9543555992530635e-11,19802.5074415921,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.869757239347155e-05,9.659384446620077e-09,1.2277155007943785e-09,0.005666503670766086,1442544455.8869598,44210837.5453666,1443221779.6883013,-7.478469482955612e-08,3.9012206741998184e-07,3.9722534922735066e-07,2.0828891053666678e+18,1.577879780687907e-13,1.4471521185708217e+27,9.1593330741939,102.4,permeability,0.9754386104483614
0.545,1.8581234013843514e-11,18827.4347295717,1.22660304735036,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8290940561952788e-05,9.659384446620077e-09,1.2468579120975267e-09,0.005629973315913356,1469189516.1881669,41115752.89587772,1469764722.536711,-7.666360878657826e-08,4.0459656905750137e-07,4.117956927959337e-07,2.160208339613415e+18,1.69575692605283e-13,1.4330051534019827e+27,9.167247819182215,102.4,tortuosity,0.9933783419945793
0.545,1.8581234013843514e-11,18827.4347295717,1.21863423537651,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.823142881860567e-05,9.659384446620077e-09,1.2591082491049487e-09,0.0056668312089938715,1478876215.753876,45038663.80946874,1479561875.2726252,-7.907110365964766e-08,4.1002349140375056e-07,4.1757813991740067e-07,2.1891033427602473e+18,1.7437150293687624e-13,1.4114610550198504e+27,9.1701331320702,102.4,fluid_chemistry,1.0
0.56015,2.0245134156068977e-11,20513.3814918231,1.2301251315222,2.22044604925031e-16,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.8859396814894152e-05,9.659384446620077e-09,1.239329580942726e-09,0.005769506556925589,1430432643.1292686,57721680.88755521,1431596779.4648988,-8.743642442927048e-08,3.9727990341719384e-07,4.0678796685269635e-07,2.0494693389742702e+18,1.654764499761504e-13,1.384906156113379e+27,9.155820712725653,204.8,full_path,0.9675815546417156
0.56015,1.8581234013843514e-11,18827.4347295717,1.21863423537651,0.0,0.0010001,7.0,0.001,2220000000.0,3141592.653589793,45.0,1.7983192249886573e-05,9.659384446620077e-09,1.3119741613846008e-09,0.005824545113778359,1506032560.468088,65684408.787086606,1507464266.4911742,-9.936613679390722e-08,4.40752093213539e-07,4.518141618115369e-07,2.272448514747774e+18,2.0413603681346164e-13,1.2987354231110185e+27,9.178247026251901,204.8,porosity,1.0188585497402112
